what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1379972736358
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1379972736358
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1379972736359
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1379972736359
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1379972736359
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1379972736360
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1379972736360
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1379972736361
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1379972736362
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1379972736382
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1379972736382
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1379972736383
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1379972736383
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1379972736383
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1379972736384
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1379972736384
os,sysinfo,,,"win32",1379972736387
arch,sysinfo,,,"x86_64",1379972736387
ws,sysinfo,,,"win32",1379972736387
locale,sysinfo,,,"de_CH",1379972736387
processors,sysinfo,,,"4",1379972736387
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379972736387
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1379972736387
java.specification.name,sysinfo,,,"Java Platform API Specification",1379972736387
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379972736387
java.specification.version,sysinfo,,,"1.7",1379972736387
java.vendor,sysinfo,,,"Oracle Corporation",1379972736387
java.version,sysinfo,,,"1.7.0_21",1379972736387
java.vm.info,sysinfo,,,"mixed mode",1379972736387
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1379972736387
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379972736387
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379972736387
java.vm.specification.version,sysinfo,,,"1.7",1379972736387
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379972736387
java.vm.version,sysinfo,,,"23.21-b01",1379972736387
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1379972758775
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1379972758783
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1379972758802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379972782280
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1379972803480
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1379972803498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379972810614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379972811615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379972812449
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379972812524
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1379972812905
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1379972812910
